,comment,info
0,"金の亡者・メーガンは、今は政治活動が１番お金になると判断したんでしょう。
適当に聞こえの良い事を手振り身振りのドヤ顔で喋ったらいいだけだし。

ディズニーは売り込んだところでナレーションどまり。
ハリウッドと言っても実績ゼロ、かろうじてテレビ「スーツ」のチョイ役どまり。

そうやって考えると政治にお金のにおいを嗅ぎ取ったに違いない。",url: https://news.yahoo.co.jp/articles/f3591c800e1699d63fd5369fc808923f0afd100f/comments?page=24&t=t&order=recommended
1,"ミシェルさんにあやかり自分ものし上がりたいんですね。
この方いつも他人の褌を利用してませんかね。立派な発言されますけど、行いが行いなのでインチキ臭いです。
自分を超えた発言は良い大人が背伸びしてるようでみっともないかなと。
そして、今の貴方はあくまでイギリス王室のおかげ。勘違いされてませんか？",comment num: 241
2,"英国の貴族の称号を有する人物が、アメリカで政治活動をする。
憶単位の援助金を英国から受けながら、英国のために働かないで、アメリカのために活動。メーガンさん、非常識の達人なので、こういう非常識な話にも慣れてきましたが、なぜ、政治活動に注力するのか？

メーガンさんは、勘違いの天才でもあるので、バイデン大統領誕生に貢献して論功行賞にあずかりたいと思っているかもしれませんね。
バイデンさんは、相手にしないでしょうけど。",
3,"メーガンもさることながら、その政治的発言を許してるハリーにこそ問題があります。王室のプロトコルの何を学んで来たんでしょうかね。ここは絶対に止めなきゃいけない場面です。理解してないのか、もうメーガンを制御出来ないかはわからんが。

いずれにせよ王室側はハリーとメーガンを早急に切る決断をすべきです。見直し時期まで待っていたのでは英国の世論を抑えられなくなりますよ。",
4,政治活動をするなら完全に王室から手を切らないと。,
5,"いつからミシェルオバマの友達なの？
本当に何から何まで図々しいし、何勘違いしてるんだか。
話してる内容も意味がなくて何も響かない。
こんなの政治活動なんてできないね。
いい客寄せパンダ。しかも今だけ。
それに政治活動するのなら、自分の身（ぼんくら夫も）きれいにしてからにしたら？
英国の自宅の改修費返して、全ての称号返して、パパからのお小遣い拒否して。",
6,"自分には影響力がある、自分が発言することで事態を動かせる、と勘違いしてるんでしょうね。
あくまで今の立場にいられるのは、英王室やヘンリーのおかげであって、この人自身に何の価値もないのに。",
7,"イギリスの公爵夫人がアメリカの選挙投票に関して口を出すのは明らかにおかしい。英国民に非難されて当然ですよね。

個人的には、PR会社を使って不自然な上げ記事を出し自身の印象操作をするメーガンさんは信用し難い。
このスピーチに触発され投票に行きますというアメリカ人、いるのでしょうか。",
8,図々しいなんて そんな生易しいものでは無いと思うし これは英国の爵位を利用し英国王室も米国で起きた黒人運動も利用し剰え人間の心理さえも自分の都合良くなる為に利用しようとしてるんでしょう️メーガンは王室の権威も金も裏社会さえも自分の為に利用しようとしてるだけ………随分と甘く見られたもんだよね️最低最悪️,
9,"ワオ！ポニーテールの顔つきが、上からの嫌な感じです・・・
こんな人にたくさん税金を使われた英国民は本当に嫌な気分でしょう。
王室に、さっさと対処してもらう以外、溜飲が収まる道はないでしょうね。
これから米国の政界はどうなるか？
そして確かに、ザクラウンの著者が言ってるように、もっと時間がたたないとハリーメ―ガンが歴史的にどの程度の位置づけのものだったのか、今はまだわからないですね。メ―ガンが口で色々言っても、自分のためには他者を切り捨てる、他者のために絶対自分が犠牲にはならない気持ちでいるのは、確かだ。",
